,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:10:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
